#      face_x        face_y        face_z
         0.55      0.693758      0.856266
         0.55      0.694094      0.893811
         0.85      0.693817      0.856283
         0.85      0.656204      0.893723
     0.858113      0.690046      0.885433
     0.857868      0.683444      0.892485
      0.25165      0.745764      0.859209
         0.25       0.74449      0.892659
      0.38833      0.708539      0.858115
         0.39      0.743734       0.85636
     0.389534      0.705868       0.89373
         0.39      0.743717      0.893693
         0.55      0.706274       0.89375
         0.55      0.743538      0.893711
         0.85      0.744819      0.855598
       0.3893      0.756289      0.856279
         0.39      0.793728      0.856267
     0.389543       0.75631      0.893622
         0.39      0.793762      0.893711
         0.55      0.755203       0.89359
         0.85      0.793163      0.855492
     0.857296      0.757744      0.886262
         0.25      0.806218      0.893755
     0.256888      0.834027      0.891108
         0.39      0.805958      0.856421
         0.39      0.806258       0.89373
         0.39      0.843709      0.893763
         0.85      0.843744      0.856254
     0.857329      0.814743      0.891165
     0.386005      0.856108      0.860065
         0.39      0.855747      0.893767
     0.442879      0.860797      0.859037
     0.443057      0.862923      0.893705
         0.55      0.895857      0.855962
     0.556956      0.899226      0.898383
     0.742094      0.884302      0.856537
         0.85      0.893205      0.858328
         0.85      0.857027      0.894289
         0.85      0.893253      0.893671
     0.442313      0.943598      0.882217
         0.55       0.94353      0.856001
     0.550679      0.908074      0.895091
         0.55      0.943735      0.893736
         0.85        0.9039      0.893464
     0.912619      0.906828      0.893867
         0.91      0.943685      0.893713
         0.25       0.99375      0.856088
         0.25      0.993782      0.893755
     0.256888      0.965973      0.891108
         0.55      0.956108      0.893636
     0.557297      0.985204      0.891967
     0.611384      0.994884      0.893686
     0.742699       1.00123      0.854862
         0.91       0.99375       0.85625
     0.911564      0.956465      0.893443
     0.911398      0.995001      0.894121
     0.612748        1.0045      0.895603
         0.61       1.04386      0.893927
     0.742738       1.00761      0.900459
         0.91       1.04375       0.85625
     0.912782       1.00503      0.892274
     0.911375       1.04315      0.892992
         0.25       1.05551      0.892659
     0.443669       1.09994      0.893818
         0.61       1.05603      0.893886
         0.91       1.09375       0.85625
         0.91       1.05625      0.892865
     0.912755       1.09503      0.890707
     0.612721       1.10726      0.897044
     0.743052       1.10124      0.860104
     0.743196       1.10379       0.89056
     0.911374       1.10571      0.893185
     0.912492       1.15653      0.895611
         0.91       1.19384      0.894308
         0.91       1.20623      0.894251
     0.914132       1.24011      0.893638
     0.387269      0.593752      0.947948
     0.387377      0.644307      0.906256
     0.850674      0.644303      0.904539
         0.85      0.644089      0.943824
         0.39      0.656755      0.906261
     0.389301      0.693755      0.906204
     0.389509      0.655987      0.943968
         0.55      0.693966      0.906277
       0.5559      0.692547      0.939171
         0.85      0.656283      0.943776
     0.857926      0.685557      0.944012
     0.389309      0.706337      0.905939
     0.388762      0.744851      0.906737
         0.55      0.743464      0.906251
         0.55      0.743754      0.943746
     0.687116      0.707461      0.908927
     0.688432      0.706352      0.944319
         0.69       0.74371      0.943825
         0.25      0.793752      0.906735
         0.25      0.793917       0.94348
     0.256637      0.764051      0.941918
         0.39      0.793888      0.905775
         0.55       0.75621      0.943803
     0.557462      0.786736      0.942791
     0.687199      0.792782      0.908298
         0.69      0.756218      0.943907
         0.69      0.793742      0.943765
         0.25      0.806279      0.943659
         0.25      0.843643      0.943552
     0.257502      0.844327      0.912759
     0.389614      0.805644       0.90546
         0.39       0.84371      0.906248
         0.39       0.84389      0.943583
         0.69      0.806144      0.943818
     0.856356       0.84759      0.942214
         0.25       0.85567      0.943448
         0.39      0.855751       0.90625
         0.39      0.855575      0.943472
     0.441621      0.865782      0.903886
     0.442848      0.897877      0.939042
     0.551033       0.89662      0.907601
      0.55203      0.896472      0.941212
     0.742873      0.889685      0.910308
         0.85      0.893302      0.906185
         0.85      0.857329      0.942978
     0.857142       0.88924      0.939556
         0.25       0.94433      0.943448
       0.2583       0.94597      0.915471
     0.443094      0.935642      0.906914
     0.442696      0.936251        0.9421
         0.55      0.943631      0.906117
     0.551868      0.906493      0.941773
      0.55729      0.941764      0.935604
     0.743019      0.946644      0.947018
         0.91      0.943521      0.906173
         0.91      0.943343       0.94315
         0.25       0.99377      0.906257
         0.25      0.956357      0.943552
         0.25      0.993721      0.943659
         0.61      0.993779      0.906427
         0.61      0.958962      0.943778
         0.61      0.993709      0.943675
     0.742686       1.00086      0.908034
     0.913959      0.994305      0.903091
     0.911512      0.955021      0.944205
     0.251648       1.04237      0.903586
         0.25       1.00608      0.943479
     0.256637       1.03595      0.941918
         0.61       1.04375      0.906269
     0.610698       1.00728      0.943543
         0.61       1.04376      0.943711
     0.443127       1.10093      0.905848
     0.443704       1.06348      0.944309
     0.611252       1.09448      0.907882
         0.61       1.05626       0.94373
         0.61       1.09375       0.94375
         0.61       1.10625      0.943752
     0.610362        1.1448      0.945047
     0.910454       1.14439       0.90708
     0.441601        1.1824      0.945466
         0.61       1.15607      0.944226
         0.91       1.19375      0.906252
     0.388406      0.557388      0.958568
         0.39       0.59375      0.957135
         0.39      0.593778      0.991038
         0.39      0.605931      0.957771
     0.388367      0.643398      0.956996
         0.39      0.606258      0.991071
     0.388235      0.643782      0.993968
     0.687686      0.643442      0.995094
         0.85      0.644015      0.956379
         0.85      0.643799      0.993718
     0.856257      0.614048      0.993733
      0.38834      0.655611      0.955509
         0.55      0.696449      0.991098
     0.689611      0.693454      0.956904
         0.69       0.69375       0.99375
         0.85      0.656257       0.99373
         0.85      0.693741      0.993771
       0.8574      0.684759      0.954634
     0.857773      0.691651      0.961019
         0.55       0.74375      0.956251
         0.55      0.706805       0.99144
         0.69      0.743748      0.956256
         0.69      0.706243      0.993746
     0.688842      0.743941       0.99166
